game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
663178,2022-04-07,R,2022,Milwaukee Brewers,158,Chicago Cubs,112,Wrigley Field,Final
662766,2022-04-07,R,2022,Cleveland Guardians,114,Kansas City Royals,118,Kauffman Stadium,Final
662021,2022-04-07,R,2022,Pittsburgh Pirates,134,St. Louis Cardinals,138,Busch Stadium,Final
662571,2022-04-07,R,2022,New York Mets,121,Washington Nationals,120,Nationals Park,Final
661577,2022-04-07,R,2022,Cincinnati Reds,113,Atlanta Braves,144,Truist Park,Final
661042,2022-04-07,R,2022,Houston Astros,117,Los Angeles Angels,108,Angel Stadium,Final
663418,2022-04-07,R,2022,San Diego Padres,135,Arizona Diamondbacks,109,Chase Field,Final
661333,2022-04-08,R,2022,Boston Red Sox,111,New York Yankees,147,Yankee Stadium,Postponed
661750,2022-04-08,R,2022,Seattle Mariners,136,Minnesota Twins,142,Target Field,Postponed
661333,2022-04-08,R,2022,Boston Red Sox,111,New York Yankees,147,Yankee Stadium,Final
662888,2022-04-08,R,2022,Chicago White Sox,145,Detroit Tigers,116,Comerica Park,Final
661131,2022-04-08,R,2022,Oakland Athletics,133,Philadelphia Phillies,143,Citizens Bank Park,Final
661918,2022-04-08,R,2022,Baltimore Orioles,110,Tampa Bay Rays,139,Tropicana Field,Final
662933,2022-04-08,R,2022,Los Angeles Dodgers,119,Colorado Rockies,115,Coors Field,Final
661750,2022-04-08,R,2022,Seattle Mariners,136,Minnesota Twins,142,Target Field,Final
662124,2022-04-08,R,2022,Miami Marlins,146,San Francisco Giants,137,Oracle Park,Final
662559,2022-04-08,R,2022,New York Mets,121,Washington Nationals,120,Nationals Park,Final
661782,2022-04-08,R,2022,Texas Rangers,140,Toronto Blue Jays,141,Rogers Centre,Final
661576,2022-04-08,R,2022,Cincinnati Reds,113,Atlanta Braves,144,Truist Park,Final
661041,2022-04-08,R,2022,Houston Astros,117,Los Angeles Angels,108,Angel Stadium,Final
663417,2022-04-08,R,2022,San Diego Padres,135,Arizona Diamondbacks,109,Chase Field,Final
663147,2022-05-30,R,2022,Milwaukee Brewers,158,Chicago Cubs,112,Wrigley Field,Postponed
661917,2022-04-09,R,2022,Baltimore Orioles,110,Tampa Bay Rays,139,Tropicana Field,Final
662864,2022-04-09,R,2022,Chicago White Sox,145,Detroit Tigers,116,Comerica Park,Final
661756,2022-04-09,R,2022,Seattle Mariners,136,Minnesota Twins,142,Target Field,Final
662020,2022-04-09,R,2022,Pittsburgh Pirates,134,St. Louis Cardinals,138,Busch Stadium,Final
663205,2022-04-09,R,2022,Milwaukee Brewers,158,Chicago Cubs,112,Wrigley Field,Final
661803,2022-04-09,R,2022,Texas Rangers,140,Toronto Blue Jays,141,Rogers Centre,Final
661130,2022-04-09,R,2022,Oakland Athletics,133,Philadelphia Phillies,143,Citizens Bank Park,Final
662123,2022-04-09,R,2022,Miami Marlins,146,San Francisco Giants,137,Oracle Park,Final
