game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
746099,2024-09-07,R,2024,Cleveland Guardians,114,Los Angeles Dodgers,119,Dodger Stadium,Final
746989,2024-09-08,R,2024,Tampa Bay Rays,139,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745453,2024-09-08,R,2024,Washington Nationals,120,Pittsburgh Pirates,134,PNC Park,Final
747072,2024-09-08,R,2024,Toronto Blue Jays,141,Atlanta Braves,144,Truist Park,Final
746910,2024-09-08,R,2024,Chicago White Sox,145,Boston Red Sox,111,Fenway Park,Final
745774,2024-09-08,R,2024,Cincinnati Reds,113,New York Mets,121,Citi Field,Final
746017,2024-09-08,R,2024,Philadelphia Phillies,143,Miami Marlins,146,loanDepot park,Final
746258,2024-09-08,R,2024,Minnesota Twins,142,Kansas City Royals,118,Kauffman Stadium,Final
745940,2024-09-08,R,2024,Colorado Rockies,115,Milwaukee Brewers,158,American Family Field,Final
745128,2024-09-08,R,2024,Seattle Mariners,136,St. Louis Cardinals,138,Busch Stadium,Final
746827,2024-09-08,R,2024,New York Yankees,147,Chicago Cubs,112,Wrigley Field,Final
744965,2024-09-08,R,2024,Los Angeles Angels,108,Texas Rangers,140,Globe Life Field,Final
745616,2024-09-08,R,2024,Detroit Tigers,116,Oakland Athletics,133,Oakland Coliseum,Final
746098,2024-09-08,R,2024,Cleveland Guardians,114,Los Angeles Dodgers,119,Dodger Stadium,Final
745368,2024-09-08,R,2024,San Francisco Giants,137,San Diego Padres,135,Petco Park,Final
746345,2024-09-08,R,2024,Arizona Diamondbacks,109,Houston Astros,117,Minute Maid Park,Final
745534,2024-09-09,R,2024,Tampa Bay Rays,139,Philadelphia Phillies,143,Citizens Bank Park,Final
747090,2024-09-09,R,2024,Cincinnati Reds,113,Atlanta Braves,144,Truist Park,Final
745454,2024-09-09,R,2024,Miami Marlins,146,Pittsburgh Pirates,134,PNC Park,Final
745698,2024-09-09,R,2024,Kansas City Royals,118,New York Yankees,147,Yankee Stadium,Final
744888,2024-09-09,R,2024,New York Mets,121,Toronto Blue Jays,141,Rogers Centre,Final
746909,2024-09-09,R,2024,Baltimore Orioles,110,Boston Red Sox,111,Fenway Park,Final
