game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
778563,2025-03-18,R,2025,Los Angeles Dodgers,119,Chicago Cubs,112,Tokyo Dome,Final
778564,2025-03-19,R,2025,Los Angeles Dodgers,119,Chicago Cubs,112,Tokyo Dome,Final
778557,2025-03-27,R,2025,Milwaukee Brewers,158,New York Yankees,147,Yankee Stadium,Final
778556,2025-03-27,R,2025,Baltimore Orioles,110,Toronto Blue Jays,141,Rogers Centre,Final
778553,2025-03-27,R,2025,Boston Red Sox,111,Texas Rangers,140,Globe Life Field,Final
778555,2025-03-27,R,2025,Philadelphia Phillies,143,Washington Nationals,120,Nationals Park,Final
778558,2025-03-27,R,2025,Cleveland Guardians,114,Kansas City Royals,118,Kauffman Stadium,Final
778559,2025-03-27,R,2025,New York Mets,121,Houston Astros,117,Daikin Park,Final
778561,2025-03-27,R,2025,San Francisco Giants,137,Cincinnati Reds,113,Great American Ball Park,Final
778545,2025-03-27,R,2025,Atlanta Braves,144,San Diego Padres,135,Petco Park,Final
778554,2025-03-27,R,2025,Los Angeles Angels,108,Chicago White Sox,145,Rate Field,Final
778562,2025-03-27,R,2025,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
778551,2025-03-27,R,2025,Minnesota Twins,142,St. Louis Cardinals,138,Busch Stadium,Final
778546,2025-03-27,R,2025,Detroit Tigers,116,Los Angeles Dodgers,119,Dodger Stadium,Final
778552,2025-03-27,R,2025,Chicago Cubs,112,Arizona Diamondbacks,109,Chase Field,Final
778547,2025-03-27,R,2025,Athletics,133,Seattle Mariners,136,T-Mobile Park,Final
778560,2025-03-28,R,2025,Colorado Rockies,115,Tampa Bay Rays,139,George M. Steinbrenner Field,Final
778549,2025-03-28,R,2025,Baltimore Orioles,110,Toronto Blue Jays,141,Rogers Centre,Final
778548,2025-03-28,R,2025,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
778550,2025-03-28,R,2025,Boston Red Sox,111,Texas Rangers,140,Globe Life Field,Final
778518,2025-03-28,R,2025,New York Mets,121,Houston Astros,117,Daikin Park,Final
778543,2025-03-28,R,2025,Chicago Cubs,112,Arizona Diamondbacks,109,Chase Field,Final
778541,2025-03-28,R,2025,Athletics,133,Seattle Mariners,136,T-Mobile Park,Final
778542,2025-03-28,R,2025,Atlanta Braves,144,San Diego Padres,135,Petco Park,Final
778544,2025-03-28,R,2025,Detroit Tigers,116,Los Angeles Dodgers,119,Dodger Stadium,Final
778538,2025-03-29,R,2025,Milwaukee Brewers,158,New York Yankees,147,Yankee Stadium,Final
778534,2025-03-29,R,2025,Los Angeles Angels,108,Chicago White Sox,145,Rate Field,Final
778528,2025-03-29,R,2025,Minnesota Twins,142,St. Louis Cardinals,138,Busch Stadium,Final
778536,2025-03-29,R,2025,Baltimore Orioles,110,Toronto Blue Jays,141,Rogers Centre,Final
778535,2025-03-29,R,2025,Philadelphia Phillies,143,Washington Nationals,120,Nationals Park,Final
778529,2025-03-29,R,2025,Cleveland Guardians,114,Kansas City Royals,118,Kauffman Stadium,Final
778540,2025-03-29,R,2025,San Francisco Giants,137,Cincinnati Reds,113,Great American Ball Park,Final
778537,2025-03-29,R,2025,Colorado Rockies,115,Tampa Bay Rays,139,George M. Steinbrenner Field,Final
778539,2025-03-29,R,2025,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
778531,2025-03-29,R,2025,Boston Red Sox,111,Texas Rangers,140,Globe Life Field,Final
778530,2025-03-29,R,2025,New York Mets,121,Houston Astros,117,Daikin Park,Final
778520,2025-03-29,R,2025,Atlanta Braves,144,San Diego Padres,135,Petco Park,Final
778532,2025-03-29,R,2025,Chicago Cubs,112,Arizona Diamondbacks,109,Chase Field,Final
778533,2025-03-29,R,2025,Detroit Tigers,116,Los Angeles Dodgers,119,Dodger Stadium,Final
778521,2025-03-29,R,2025,Athletics,133,Seattle Mariners,136,T-Mobile Park,Final
778526,2025-03-30,R,2025,Philadelphia Phillies,143,Washington Nationals,120,Nationals Park,Final
778523,2025-03-30,R,2025,Milwaukee Brewers,158,New York Yankees,147,Yankee Stadium,Final
778525,2025-03-30,R,2025,Baltimore Orioles,110,Toronto Blue Jays,141,Rogers Centre,Final
778522,2025-03-30,R,2025,San Francisco Giants,137,Cincinnati Reds,113,Great American Ball Park,Final
778524,2025-03-30,R,2025,Colorado Rockies,115,Tampa Bay Rays,139,George M. Steinbrenner Field,Final
778519,2025-03-30,R,2025,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
778510,2025-03-30,R,2025,Cleveland Guardians,114,Kansas City Royals,118,Kauffman Stadium,Final
778527,2025-03-30,R,2025,Los Angeles Angels,108,Chicago White Sox,145,Rate Field,Final
778517,2025-03-30,R,2025,Minnesota Twins,142,St. Louis Cardinals,138,Busch Stadium,Final
778516,2025-03-30,R,2025,Boston Red Sox,111,Texas Rangers,140,Globe Life Field,Final
778515,2025-03-30,R,2025,Chicago Cubs,112,Arizona Diamondbacks,109,Chase Field,Final
778513,2025-03-30,R,2025,Athletics,133,Seattle Mariners,136,T-Mobile Park,Final
778514,2025-03-30,R,2025,Atlanta Braves,144,San Diego Padres,135,Petco Park,Final
778506,2025-03-31,R,2025,Minnesota Twins,142,Chicago White Sox,145,Rate Field,Final
778504,2025-03-31,R,2025,Kansas City Royals,118,Milwaukee Brewers,158,American Family Field,Final
778512,2025-03-31,R,2025,Boston Red Sox,111,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
778502,2025-03-31,R,2025,Colorado Rockies,115,Philadelphia Phillies,143,Citizens Bank Park,Final
778511,2025-03-31,R,2025,Texas Rangers,140,Cincinnati Reds,113,Great American Ball Park,Final
778509,2025-03-31,R,2025,New York Mets,121,Miami Marlins,146,loanDepot park,Final
778508,2025-03-31,R,2025,Pittsburgh Pirates,134,Tampa Bay Rays,139,George M. Steinbrenner Field,Final
