game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
718780,2023-03-30,R,2023,Atlanta Braves,144,Washington Nationals,120,Nationals Park,Final
718781,2023-03-30,R,2023,San Francisco Giants,137,New York Yankees,147,Yankee Stadium,Final
718782,2023-03-30,R,2023,Baltimore Orioles,110,Boston Red Sox,111,Fenway Park,Final
718777,2023-03-30,R,2023,Milwaukee Brewers,158,Chicago Cubs,112,Wrigley Field,Final
718776,2023-03-30,R,2023,Detroit Tigers,116,Tampa Bay Rays,139,Tropicana Field,Final
718779,2023-03-30,R,2023,Philadelphia Phillies,143,Texas Rangers,140,Globe Life Field,Final
718773,2023-03-30,R,2023,Pittsburgh Pirates,134,Cincinnati Reds,113,Great American Ball Park,Final
718772,2023-03-30,R,2023,Toronto Blue Jays,141,St. Louis Cardinals,138,Busch Stadium,Final
718775,2023-03-30,R,2023,Minnesota Twins,142,Kansas City Royals,118,Kauffman Stadium,Final
718774,2023-03-30,R,2023,New York Mets,121,Miami Marlins,146,loanDepot park,Final
718768,2023-03-30,R,2023,Chicago White Sox,145,Houston Astros,117,Minute Maid Park,Final
718778,2023-03-30,R,2023,Colorado Rockies,115,San Diego Padres,135,Petco Park,Final
718769,2023-03-30,R,2023,Los Angeles Angels,108,Oakland Athletics,133,Oakland Coliseum,Final
718770,2023-03-30,R,2023,Arizona Diamondbacks,109,Los Angeles Dodgers,119,Dodger Stadium,Final
718767,2023-03-30,R,2023,Cleveland Guardians,114,Seattle Mariners,136,T-Mobile Park,Final
718771,2023-03-31,R,2023,New York Mets,121,Miami Marlins,146,loanDepot park,Final
718764,2023-03-31,R,2023,Chicago White Sox,145,Houston Astros,117,Minute Maid Park,Final
718766,2023-03-31,R,2023,Colorado Rockies,115,San Diego Padres,135,Petco Park,Final
718765,2023-03-31,R,2023,Arizona Diamondbacks,109,Los Angeles Dodgers,119,Dodger Stadium,Final
718763,2023-03-31,R,2023,Cleveland Guardians,114,Seattle Mariners,136,T-Mobile Park,Final
718760,2023-04-01,R,2023,Chicago White Sox,145,Houston Astros,117,Minute Maid Park,Final
718759,2023-04-01,R,2023,Toronto Blue Jays,141,St. Louis Cardinals,138,Busch Stadium,Final
